NGO Name,Location,State,Founded,Focus Area,Disability Categories Served,Sports Supported,Programs Offered,Key Initiatives,Contact Email,Website,Partner Organizations,Collaboration Opportunities,Community Reach,Annual Beneficiaries
Samarthanam Trust for the Disabled,Bangalore,Karnataka,1997,Education & Livelihood Training,Visual Impairment - Hearing Impairment - Multiple Disabilities,Blind Cricket - Athletics - Badminton - Swimming,Inclusive Education - Vocational Training - Assistive Devices - Sports Programs,World Blind Cricket Council Affiliation - Scholarship Programs - Sports Association for Visually Impaired,info@samarthanam.org,https://samarthanam.org,World Blind Cricket Council - Corporate Partners - Educational Institutions,Corporate Sponsorships - Equipment Donation - Scholarship Programs - Infrastructure Development,Pan-India,2500+
Adventures Beyond Barriers Foundation (ABBF),Multiple,National,2005,Adaptive Sports & Adventure Activities,Physical Disability - Visual Impairment - Mobility Challenges - Hearing Impairment,Mountaineering - Tandem Cycling - Scuba Diving - Paragliding - Marathon - Rock Climbing - Water Sports,Adventure Events - Sports Training - Community Awareness - Team Building Workshops,Tandem Cycling Expeditions - Open Water Scuba Diving - Inclusive Mountaineering Climbs - Social Integration Programs,contact@abbf.in,https://abbf.in,Corporate Partners - NGOs - Government Bodies - Tourism Departments,Corporate CSR Programs - Equipment Sponsorship - Skill Training Partnerships - Event Organization,15+ states,15000+
Wheelchair Basketball Federation of India (WBFI),Multiple,National,2010,Competitive Wheelchair Sports,Physical Disability - Spinal Cord Injury - Amputation,Wheelchair Basketball - Wheelchair Tennis - Para Athletics,Coaching Programs - State-level Tournaments - National Championships - Player Development,National Wheelchair Basketball League - State Association Network - Athlete Scholarships,info@wbfi.org,https://wbfi.in,Paralympic Committee of India - Corporate Sponsors - International Sports Bodies - Universities,International Partnerships - Equipment Sponsorship - Training Facility Development - Athlete Sponsorship,22 states,3000+
Pushpa Jaipuria Foundation,Jaipur,Rajasthan,2015,Inclusive Sports Infrastructure,Physical Disability - Multiple Disabilities - Hearing Impairment,Para Cricket - Para Athletics - Para Sports (Multiple),Sports Ground Development - Rehabilitation Training - Athlete Development Programs,First Dedicated Para-Sports Ground in India - Strength & Rehabilitation Centre - Community Outreach,contact@pushpajaipuria.org,https://pushpajaipuria.org,Rajasthan Government - Differently Abled Cricket Associations - Sports Bodies - Corporate Sponsors,Infrastructure Partnerships - Equipment Donation - Government Collaboration - Sports Programs,Rajasthan & North India,1500+
Civilian Welfare Foundation (CWF),Bengal,West Bengal,2008,Community Sports & Inclusion,Intellectual Disability - Autism - Physical Disability - Hearing Impairment,Athletics - Football - Volleyball - Badminton - Swimming - Team Sports,Competitive Sports Events - Women Sports Programs - Olympism365 Bengal - Screening & Selection,Para-Athlete Screening for State Selection - Olympism365 Bengal Initiative - Community Integration Programs,info@cwforg.com,https://cwforg.com,State Government - Sports Authority - Corporate Partners - Educational Institutions,Women Sports Program Expansion - Equipment Sponsorship - Training Facility Development - Event Organization,West Bengal & Eastern States,2000+
SIVUS India,National,Multiple,2012,Intellectual Disability Sports,Intellectual Disability - Down Syndrome - Autism - Developmental Disabilities,Basketball - Football - Swimming - Athletics - Badminton - Volleyball - Water Sports,Competitive Sports Programs - Leisure Sports - National Championships - International Events,National & International Championships - Virtus Guidelines Compliance - Athlete Development Pipeline,admin@sivusindia.org,https://sivusindia.org,Virtus International - Government Bodies - Educational Institutions - Corporate Sponsors,International Event Organization - Equipment Sponsorship - Coach Training Programs - Facility Development,Pan-India,3500+
Divyang Para Sports Association of Delhi (DPSA),Delhi,Delhi,2011,Para Sports Development,Physical Disability - Visual Impairment - Hearing Impairment - Intellectual Disability,Athletics - Badminton - Wheelchair Sports - Swimming - Archery - Table Tennis,State-level Competitions - National Qualifiers - Athlete Development - Coaching Programs,Delhi State Para Sports Championships - Athlete Mentorship - Community Awareness Campaigns,contact@dpsadelhi.com,https://dpsadelhi.com,Paralympic Committee of India - Delhi Government - Sports Authority of India - Corporate Partners,Facility Development - Equipment Sponsorship - Coaching Program Expansion - National Event Hosting,Delhi & North India,2500+
Indian Council of Rehabilitation & Sports for the Disabled (ICRSD),Mumbai,Maharashtra,1978,Rehabilitation & Sports,Physical Disability - Mobility Challenges - Spinal Cord Injury - Amputation,Athletics - Wheelchair Sports - Badminton - Swimming - Archery - Table Tennis,Sports Meets (National/Regional/State) - Rehabilitation Programs - Athlete Training - Equipment Provision,Para Olympics Team Selection - State-level Championships - Community Sports Programs,info@rehabicrsd.org,https://rehabicrsd.org,Paralympic Committee of India - State Government - Sports Authority - International Sports Bodies,International Partnerships - Equipment Sponsorship - Facility Upgrade - Athlete Development Programs,Multi-state,3000+
Jeevika,Jamshedpur,Jharkhand,2006,Intellectual Disability & Integration,Intellectual Disability - Autism - Down Syndrome - Developmental Disabilities,Athletics - Football - Basketball - Swimming - Table Tennis - Team Sports,Sports-based Rehabilitation - Competitive Programs - Mainstream Integration - Livelihood Training,Community Sports Programs - Sustainable Livelihoods through Sports - Mainstream Integration Initiatives,contact@jeevikajsr.org,https://www.jeevikajsr.org,State Government - Corporate Partners - NGOs - Employers,Skill Development Program Expansion - Equipment Donation - Employment Partnerships - Facility Development,Jharkhand & Eastern India,1800+
Adapted Sports India (ASI),Telangana,Telangana & Andhra Pradesh,2016,Community Sports & Research,Physical Disability - Visual Impairment - Hearing Impairment - Multiple Disabilities,Athletics - Badminton - Swimming - Wheelchair Sports - Para Arts & Culture,Adapted Physical Activity Research - Community Outreach Programs - Women-focused Sports - Rural Development,Rural Community Programs - Women & Children Sports Initiatives - Research Publications - Disability Rights Advocacy,info@adaptedsportsindia.com,https://adaptedsportsindia.com,Universities - Research Institutions - Government Bodies - Corporate Partners,Research Partnerships - Community Program Expansion - Women Sports Initiative - Rural Outreach Scaling,Telangana - Andhra Pradesh - Parts of Orissa,2200+
