Athlete Name,State,Primary Sport,Sport Category,Disability Category,Medal History (Olympics),Olympic Medals - Gold,Olympic Medals - Silver,Olympic Medals - Bronze,Asian Para Games Medals,World Championship Medals,Personal Best/Achievements,World Records Held,Born Year,Career Status,Notable Achievements,Ambassador Potential Rating,Community Engagement,Social Media Presence,Key Strengths,Alignment with Cause
Avani Lekhara,Rajasthan,Shooting,Para-Shooting,Visual Impairment,2020 Tokyo Paralympics,2,1,0,Multiple,Multiple,Youngest Indian Paralympic gold medalist at age 19,"World's best in 10m Air Rifle SH1 category",2001,Active,"First female Indian to win multiple Paralympic medals - Bronze in shooting (Rio 2016) - Gold in shooting (Tokyo 2020) - Best female para-athlete in shooting",Very High,"Active charity work - Youth mentorship programs - Disability awareness campaigns","Instagram: 100K+, Twitter, Facebook","Inspirational story - Young achiever - Multi-medal winner - Public speaker - Media-friendly","Excellent - Strong advocate for disability sports in India"
Sumit Antil,Haryana,Javelin Throw,Para-Athletics,Physical Disability (Arm),2020 Tokyo Paralympics & 2024 Paris Paralympics,2,0,0,Multiple Gold Medals,Multiple Gold Medals,"World record holder - 68.55m in men's javelin F64 category - 2x Olympic gold medalist",7-time World Record Holder,1998,Active,"Gold at Tokyo 2020 - Gold at Paris 2024 - World #1 ranked javelin thrower - Asian Para Games medalist - Multiple world championship victories","Very High","Community coaching programs - Youth sports mentorship - Disability inclusion advocacy - School programs","Instagram: 150K+, Twitter, Facebook","Multiple gold medals - Inspirational comeback story - Strong leadership - Articulate - International recognition","Excellent - Elite athlete raising awareness globally"
Devendra Jhajharia,Madhya Pradesh,Javelin Throw,Para-Athletics,Physical Disability (Arm),2004 Athens - 2016 Rio - 2020 Tokyo,3,1,0,Multiple,Multiple,"First Indian to win 2 Paralympic gold medals - Most decorated Indian Paralympic athlete - Record 57.40m",World records in javelin throw,"1979",Active,"Gold 2004 Athens - Gold 2016 Rio - Silver 2020 Tokyo - President of Paralympic Committee of India - Multi-continent medalist - Sports administrator","Very High","Government advisory roles - Sports policy development - Athlete mentorship - National advocacy","Instagram: 80K+, Twitter, Facebook","Leadership qualities - Experience across decades - Institutional influence - Policy advocacy - Inspirational legacy","Excellent - Leadership in disability sports ecosystem"
Mariyappan Thangavelu,Tamil Nadu,High Jump,Para-Athletics,Physical Disability (Leg),2016 Rio Paralympics - 2020 Tokyo Paralympics,1,1,0,Multiple,Multiple,"World record high jump - 1.89m in T42 category - Olympic gold at age 19",World records in high jump T42,1997,Active,"Gold 2016 Rio (youngest Indian gold medalist at 19) - Silver 2020 Tokyo - Asian Para Games gold - World championship medals - Career comeback stories","Very High","Student mentorship - School programs - Rural sports outreach - Youth academy involvement","Instagram: 120K+, Twitter, Facebook","Young role model - Multiple comebacks - Rural background story - Community connection - Engaging personality","Excellent - Relatable to grassroots youth programs"
Pramod Bhagat,Odisha,Badminton,Para-Badminton,Physical Disability (Leg),2020 Tokyo Paralympics,1,0,0,Multiple Gold Medals,Multiple Gold Medals,"World number 2 - Multiple World Championship gold medals - Olympic gold in SL3 category",World ranking in badminton,1988,Active,"Gold 2020 Tokyo in men's singles SL3 - 6x World Champion - Multiple Asian Para Games medals - Competitive para-badminton pioneer","High","Youth coaching - Badminton academy programs - Sports talent identification - Community engagement","Instagram: 90K+, Twitter, Facebook","Sports psychology expertise - Coaching ability - Accessible sport (badminton) - Versatile athlete - Media personable","Good - Can promote accessible sports model"
Manasi Joshi,Maharashtra,Badminton,Para-Badminton,Physical Disability (Leg),2016 Rio - 2020 Tokyo - 2024 Paris,0,1,1,Multiple,Multiple,"World No. 1 ranked in women's singles SL3 - Former world champion - Multiple World Championship medals",World ranking in badminton women's SL3,1991,Active,"Silver 2024 Paris - Multiple Asian Para Games medals - World champion status - Consistent performer - Long career longevity","High","Women's sports advocacy - Coaching programs - Youth talent identification - Gender equality in sports","Instagram: 85K+, Twitter, Facebook","Women's sports champion - Gender equality advocate - Consistent performer - Accessible sport promotion - Inspirational for girls","Good - Women empowerment angle in disability sports"
Bhavina Patel,Gujarat,Table Tennis,Para-Table Tennis,Hearing Impairment,2016 Rio Paralympics,0,1,0,Multiple,Multiple,Paralympics silver medalist - Asian Para Games medalist - National champion - Senior ranking,"Rankings in hearing impaired table tennis",1992,Active,"Silver 2016 Rio - Multiple Asian Para Games medals - National champion - Pioneer in hearing impairment sports visibility","Medium-High","Deaf sports advocacy - Community awareness - Coaching programs - Youth development programs","Instagram: 60K+, Twitter, Facebook","Unique disability category (deafness) - National champion - Advocacy for hearing impaired athletes - Pioneer role","Good - Unique angle in hearing impairment sports"
Sharad Kumar,Bihar,High Jump,Para-Athletics,Physical Disability (Leg),2016 Rio - 2020 Tokyo - 2024 Paris,0,1,1,Multiple,Multiple,"World ranking T42 - Asian Para Games medalist - Olympic silver medalist - National record holder",World ranking & records,1990,Active,"Silver 2024 Paris - Silver 2020 Tokyo - Multiple Asian Para Games medals - Long career span - Consistent performer at international level","High","Youth coaching - Athletic academy programs - State-level mentorship - Community outreach","Instagram: 75K+, Twitter, Facebook","Consistent international performer - Long career longevity - Rural background - Accessible role model - Mentor figure","Good - Model for rural athlete development"
Harvinder Singh,Himachal Pradesh,Archery,Para-Archery,Physical Disability (Leg),2024 Paris Paralympics,1,0,0,Multiple,Multiple,"First Indian archery gold medalist at Paralympics - Historic victory in 2024",World ranking in archery,1995,Active,"Gold 2024 Paris - Historic Olympic debut with gold medal - World ranking top 3 - Consistent international performer","Very High","Youth archery programs - Rural sports development - Community awareness - Emerging athlete mentorship","Instagram: 70K+, Twitter, Facebook","Historic achiever - Recent success story - Rural background - Inspirational debut - Young career trajectory","Excellent - Fresh face with global impact"
Navdeep Singh,Delhi,Javelin Throw,Para-Athletics,Physical Disability (Leg),2024 Paris Paralympics,1,0,0,Multiple,Multiple,"Recent Paralympic gold medalist - Young talent - International rankings - Rising star",World rankings emerging,1999,Active,"Gold 2024 Paris - Emerging international competitor - Young age advantage - Asian Para Games medals","Very High","Youth development focus - Rising star story - Community programs - Emerging mentor potential","Instagram: 55K+, Twitter, Facebook","Young achiever - Gold medalist at debut - Future potential - Relatability for youth - Growth trajectory","Excellent - Fresh talent for long-term campaigns"
